,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Promotional Plays (Internal) 1,"$3,635,647.45","$3,236,259.17","$3,470,186.08","$3,417,659.23","$3,436,484.42","$3,641,780.17","$3,401,939.48","$3,094,734.92","$3,536,717.37","$3,770,379.79","$3,587,455.10","$3,737,409.99","$41,966,653.17","$270,482,228.21",
Promotional Plays (External) 1,"$6,757.57","$5,328.88","$9,846.28","$5,437.34","$8,802.76","$4,470.06","$6,332.16","$8,148.76","$5,863.11","$5,932.48","$12,458.98","$11,322.25","$90,700.63","$612,546,084.37",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$231,837.18",
Gross Terminal Revenue,"$14,855,764.84","$13,851,562.21","$13,797,875.54","$13,836,912.72","$12,631,446.12","$13,788,443.12","$13,793,930.73","$14,067,256.13","$15,719,771.20","$14,601,070.57","$14,045,384.91","$14,240,205.96","$169,229,624.05","$3,422,482,585.69",
State Tax (34%),"$5,050,960.05","$4,709,531.16","$4,691,277.68","$4,704,550.33","$4,294,691.70","$4,688,070.67","$4,689,936.44","$4,782,867.10","$5,344,722.21","$4,964,363.99","$4,775,430.87","$4,841,670.04","$57,538,072.24","$1,163,644,079.36",
LSA (2%) 3,"$297,115.29","$277,031.26","$275,957.53","$276,738.27","$252,628.91","$275,768.88","$275,878.64","$281,345.14","$314,395.44","$292,021.39","$280,907.70","$284,804.15","$3,384,592.60","$113,435,225.61",
EDTF (5.5%) 4,"$817,067.06","$761,835.92","$758,883.14","$761,030.17","$694,729.54","$758,364.34","$758,666.17","$773,699.07","$864,587.43","$803,058.85","$772,496.18","$783,211.33","$9,307,629.20","$177,147,335.03",
PRHDF 5,"$1,368,798.17","$1,278,033.16","$1,278,868.62","$1,272,548.60","$1,153,844.73","$1,258,438.34","$1,261,854.34","$1,269,817.45","$1,421,073.79","$1,320,609.57","$1,267,275.34","$1,274,194.01","$15,425,356.12","$369,699,788.27",
Taxable w/s/d,$238.89,$222.74,$229.28,$222.82,$209.89,$221.73,$221.82,$250.45,$252.79,$242.72,$225.93,$236.63,,,
Number of Machines 6,"2,006","2,006","2,006","2,003","2,006","2,006","2,006","2,006","2,006","2,005","2,004","2,006",,,
GTR % Change 7,2.43%,-0.30%,-1.01%,-2.53%,6.13%,2.72%,22.73%,8.86%,12.83%,-1.18%,3.99%,4.23%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mount Airy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$170,972,504.65","$159,512,992.54","$150,560,764.81","$153,985,723.31","$134,479,409.70","$134,411,977.91","$147,288,481.84","$145,976,108.39","$153,371,025.69","$159,572,476.19","$156,919,570.29","$155,157,541.62","$1,822,208,576.94","$29,647,260,786.75",
Payouts,"$153,890,006.94","$143,725,932.68","$135,789,003.12","$138,727,471.84","$121,312,880.09","$121,351,632.93","$132,734,000.77","$131,998,043.02","$138,497,955.25","$143,597,063.48","$141,408,398.95","$139,780,702.16","$1,642,813,091.23","$26,852,115,039.67",
