,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GTR % Change 7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,
Wagers,"$2,792,584,568.75","$2,600,327,642.97","$2,577,853,350.09","$2,588,194,005.43","$2,455,389,556.47","$2,594,745,293.03","$2,621,979,808.44","$2,584,432,611.14","$2,871,085,934.17","$2,738,867,658.94","$2,701,814,892.89","$2,605,079,486.27","$31,732,354,808.59","$452,744,532,846.78",
Payouts,"$2,521,846,014.93","$2,346,952,457.51","$2,326,285,052.31","$2,335,150,166.23","$2,220,181,830.86","$2,344,111,283.35","$2,368,384,125.23","$2,332,434,042.88","$2,591,892,089.04","$2,473,994,154.29","$2,437,847,029.78","$2,352,288,914.48","$28,651,367,160.89","$409,180,527,325.09",
Promotional Plays (Internal) 1,"$56,836,481.86","$52,097,558.24","$53,043,012.38","$53,994,794.70","$49,645,331.37","$52,606,464.93","$51,355,176.86","$49,176,355.11","$53,785,757.30","$51,860,678.99","$53,105,595.29","$51,241,000.84","$628,748,207.87","$7,978,781,231.73",
Promotional Plays (External) 1,"$111,834.99","$95,230.40","$100,576.32","$102,408.91","$207,715.29","$256,289.24","$93,102.72","$74,653.98","$89,741.20","$119,925.42","$112,884.15","$62,745.04","$1,427,107.66","$616,392,378.39",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,300,983.72",
Gross Terminal Revenue,"$213,902,071.96","$201,277,627.22","$198,525,285.40","$199,049,044.50","$185,562,394.24","$198,027,544.75","$202,240,506.35","$202,822,213.15","$225,408,087.83","$213,012,825.66","$210,862,267.82","$201,549,570.95","$2,452,239,439.83","$35,590,231,480.53",
State Tax (34%),"$72,726,704.58","$68,434,393.30","$67,498,597.16","$67,676,675.21","$63,091,214.15","$67,329,365.21","$68,761,772.28","$68,959,552.51","$76,638,750.01","$72,424,360.76","$71,693,171.07","$68,526,854.19","$833,761,410.43","$12,100,442,221.02",
LSA  3,"$4,468,038.86","$4,202,820.51","$4,136,778.26","$4,143,544.45","$3,856,109.15","$4,122,245.21","$4,202,141.45","$4,257,772.76","$4,698,367.92","$4,459,745.58","$4,411,627.33","$4,230,694.62","$51,189,886.10","$1,129,305,217.78",
EDTF (5.5%) 4,"$10,716,484.39","$10,049,196.22","$9,888,199.59","$9,900,926.81","$9,194,378.46","$9,800,694.75","$9,991,884.14","$9,908,509.98","$11,058,975.91","$10,459,103.04","$10,371,323.84","$9,874,364.88","$121,214,042.01","$1,829,598,949.95",
PRHDF 5,"$17,917,513.68","$16,848,327.19","$16,649,103.46","$16,527,898.61","$15,235,470.44","$16,267,508.26","$16,577,631.38","$16,255,895.31","$18,134,323.62","$17,155,693.94","$16,933,992.02","$16,034,202.76","$200,537,560.67","$3,737,636,040.28",
Act 42 EDTF (6%),"$1,143,414.12","$1,113,898.11","$1,124,390.38","$1,141,931.68","$1,103,512.65","$1,189,985.69","$1,234,193.08","$1,360,049.09","$1,460,147.86","$1,370,838.85","$1,337,564.60","$1,320,939.78","$14,900,865.89","$28,119,731.37",
Act 42 LSA (5%),"$952,845.15","$928,248.46","$936,992.00","$951,609.71","$919,593.83","$991,654.73","$1,028,494.26","$1,133,374.22","$1,216,789.98","$1,142,365.73","$1,114,637.16","$1,100,783.25","$12,417,388.48","$23,433,110.02",
Act 42 County Grants (5%),"$952,845.15","$928,248.46","$936,992.00","$951,609.71","$919,593.83","$991,654.73","$1,028,494.26","$1,133,374.22","$1,216,789.98","$1,142,365.73","$1,114,637.16","$1,100,783.25","$12,417,388.48","$23,433,110.02",
Taxable w/s/d,$265.44,$251.27,$255.35,$248.44,$239.75,$248.12,$250.42,$274.63,$274.51,$268.51,$256.99,$257.02,,,
Number of Machines 6,"25,684","25,592","25,564","25,497","25,477","25,391","25,799","25,708","25,643","25,555","25,495","25,348",,,
GTR % Change 7,-4.03%,-4.07%,-0.18%,-2.11%,0.04%,1.29%,20.07%,4.18%,4.98%,-2.24%,2.53%,4.43%,,,
